der Abschluss	conclusion, completion; graduation, degree	German	English
der Anhang	attachment, appendix	German	English
der Arbeitgeber	employer	German	English
der Arbeitsplatz	workplace; job position	German	English
der Auslandsaufenthalt	stay abroad	German	English
belastbar	resilient, able to work under pressure	German	English
der Berufsanfänger	entry-level employee	German	English
sich um etwas bewerben	to apply for something	German	English
jemandem etwas bieten	to offer someone something	German	English
die Fähigkeit	ability, skill, competence	German	English
die Kenntnis	knowledge	German	English
etwas koordinieren	to coordinate something	German	English
der Lebenslauf	CV, résumé	German	English
die Mathematik	mathematics	German	English
motiviert	motivated	German	English
das Praktikum	internship, practical training	German	English
die Schicht	shift (work period); layer	German	English
die Schulbildung	school education	German	English
sich auf etwas spezialisieren	to specialize in something	German	English
die Stelle	place, position, job	German	English
die Stellenanzeige	job ad	German	English
die Tätigkeit	work, activity, occupation	German	English
teamfähig	team-oriented, a good team player	German	English
die Teilzeit	part-time work	German	English
die Vollzeit	full-time work	German	English
die Vollzeitkraft	full-time employee	German	English
das Zeugnis	certificate, report card, testimonial	German	English
die Zulage	allowance, bonus, supplement	German	English
der Bereich	area, sector, field	German	English
