aggravation

Mary English, [29.09.2025 12:37]
frustrated 
devastated

singularly	в единственном числе
подоконник	windowsill
windowsill	подоконник
thaw	оттаивать
thaw	оттепель
pertain to	относятся к
pertain	принадлежать
pertain	относиться
pertain	относятся
dead-letter	мёртвая буква

offset	противовес
offset	компенсация
offset by something	компенсировано чем-то
offset	смещение
offset	компенсировать
chest	ящик
chest	сундук
chest	грудь



Mary English, [02.10.2025 12:55]

Alex, [02.10.2025 13:19]


to part with	расстаться с
downright	откровенный
downright	совершенно
downright	прямо-таки
фарш	mincemeat
mince	фарш
фарш	ground meat



