personnel	персонал, личный состав	English	Russian
персонал	personnel, staff	Russian	English
staff	персонал, штат сотрудников	English	Russian
штат сотрудников	staff	Russian	English
to go out (social)	бывать в обществе, выходить в свет	English	Russian
бывать в обществе, выходить в свет	to go out, to socialize	Russian	English
to go out (light/fire)	погаснуть, потухнуть	English	Russian
погаснуть, потухнуть	to go out	Russian	English
to go outside	выйти на улицу	English	Russian
выйти на улицу	to go outside	Russian	English
pep talk	ободряющая, зажигательная речь	English	Russian
ободряющая, зажигательная речь	pep talk	Russian	English
intestine	кишечник	English	Russian
кишечник	intestine, intestines, bowel	Russian	English
bowel	кишечник; кишка	English	Russian
кишка	bowel	Russian	English
guts	кишки, внутренности; смелость, характер	English	Russian
кишки, внутренности; смелость, характер	guts	Russian	English
courtesy	вежливость, учтивость	English	Russian
вежливость, учтивость	courtesy	Russian	English
courteous	учтивый, вежливый	English	Russian
учтивый, вежливый	courteous	Russian	English
polite	вежливый, воспитанный	English	Russian
вежливый, воспитанный	polite	Russian	English
goblet	кубок, бокал	English	Russian
кубок, бокал	goblet	Russian	English
