jemanden abholen	to pick someone up	German	English
jemanden akzeptieren	to accept someone	German	English
automatisch	automatically	German	English
sich über jemanden ärgern	to be annoyed with someone	German	English
sich um jemanden kümmern	to take care of someone	German	English
an etwas (Dativ) teilnehmen	to participate in something	German	English
sich etwas ansehen	to take a look at something	German	English
der Bahnsteig	train platform	German	English
durchfahren	to have a direct connection (on transport)	German	English
die einfache Fahrt	one-way ticket; single journey	German	English
das Einzelticket	single ticket	German	English
die Fahrkarte entwerten	to validate a ticket	German	English
etwas entwerten	to devalue, to debase something	German	English
etwas bewerten	to grade, to evaluate something	German	English
die Ermäßigung	discount	German	English
der Erwachsene	adult (male)	German	English
die Erwachsene	adult (female)	German	English
halten	to hold; to stop (for transport)	German	English
der ICE	Intercity Express (ICE) high-speed train	German	English
das Kleingeld	change (money, small cash, coins)	German	English
kostenlos	free of charge	German	English
niedrig	low	German	English
die Regionalbahn	regional train	German	English
die S-Bahn	urban rail; city rapid railway	German	English
der Schalter	switch, button; counter, cashier	German	English
so früh wie möglich	as early as possible	German	English
möglich	possible	German	English
früh	early	German	English
der Start	start; beginning	German	English
die Strecke	route; stretch; distance	German	English
übrigens	by the way	German	English
jemanden wählen	to choose someone	German	English
jemandem etwas wünschen	to wish someone something	German	English
das Ziel	destination	German	English
