to abuse something	злоупотреблять чем-либо	English	Russian
злоупотреблять чем-либо	to abuse something	Russian	English
to be angry with someone	злиться на кого-то (обида, раздражение)	English	Russian
злиться на кого-то (обида, раздражение)	to be angry with someone	Russian	English
to be angry at someone	злиться на кого-то (сильное недовольство, ярость)	English	Russian
злиться на кого-то (сильное недовольство, ярость)	to be angry at someone	Russian	English
earnest	серьёзный, искренний	English	Russian
серьёзный, искренний	earnest	Russian	English
pun	каламбур, игра слов	English	Russian
каламбур, игра слов	pun	Russian	English
shrewd	проницательный, практичный, сообразительный	English	Russian
проницательный, практичный, сообразительный	shrewd	Russian	English
acts of (kindness)	проявления (доброты)	English	Russian
проявления (доброты)	acts of (kindness)	Russian	English
