цельнозерновой	wholegrain, wholemeal	Russian	English
wholemeal	цельнозерновой	English	Russian
wholegrain	цельнозерновой	English	Russian
loafer	лентяй, бездельник	English	Russian
лентяй, бездельник	loafer	Russian	English
loaf	буханка хлеба	English	Russian
буханка хлеба	loaf	Russian	English
to loaf around	бездельничать, слоняться без дела	English	Russian
бездельничать, слоняться без дела	to loaf around	Russian	English
affably	учтиво, приветливо, любезно	English	Russian
учтиво, приветливо, любезно	affably	Russian	English
sullen	угрюмый, мрачный	English	Russian
угрюмый, мрачный	sullen	Russian	English
dismal	унылый, мрачный, гнетущий	English	Russian
унылый, мрачный, гнетущий	dismal	Russian	English
lantern	фонарь	English	Russian
фонарь	flashlight, lantern, lamp	Russian	English
sly	хитрый, лукавый, пронырливый	English	Russian
хитрый, лукавый, пронырливый	sly	Russian	English
surmise	догадка, предположение	English	Russian
догадка, предположение	surmise	Russian	English
overhaul	тщательный осмотр; капитальный ремонт	English	Russian
тщательный осмотр; капитальный ремонт	overhaul	Russian	English
haul	улов, добыча, трофей	English	Russian
улов, добыча, трофей	haul	Russian	English
to haul	тащить, тянуть; перевозить; буксировать	English	Russian
тащить, тянуть; перевозить; буксировать	to haul	Russian	English
at first	поначалу, сперва, на первых порах	English	Russian
поначалу, сперва, на первых порах	at first	Russian	English
to get along with someone	ладить, уживаться  с кем-либо	English	Russian
ладить, уживаться  с кем-либо	to get along with someone	Russian	English
to cope with something	справляться с чем-либо	English	Russian
справляться с чем-либо	to cope with something	Russian	English
