on the brink of	на грани (чего-либо)	English	Russian
на грани (чего-либо)	on the brink of	Russian	English
toll	плата за проезд; потери, жертвы	English	Russian
плата за проезд; потери, жертвы	toll	Russian	English
to pull out of an event	выйти из участия в мероприятии; отказаться от участия	English	Russian
выйти из участия в мероприятии; отказаться от участия	to pull out of an event	Russian	English
to be cleared of charges	быть оправданным, очищенным от обвинений	English	Russian
быть оправданным, очищенным от обвинений	to be cleared of charges	Russian	English
to bar something	запрещать что-либо; преграждать, блокировать	English	Russian
запрещать что-либо; преграждать, блокировать	to bar something	Russian	English
takeover	поглощение (компании); захват	English	Russian
поглощение (компании); захват	takeover	Russian	English
preemptive	превентивный, упреждающий	English	Russian
превентивный, упреждающий	preemptive	Russian	English
to preempt	упреждать, предотвращать	English	Russian
упреждать, предотвращать	to preempt	Russian	English
preempted	вытеснен; предотвращён	English	Russian
вытеснен; предотвращён	preempted	Russian	English
upward	вверх; восходящий, направленный вверх	English	Russian
вверх	upward	Russian	English
восходящий, направленный вверх	upward	Russian	English
ward	подопечный; палата в больнице	English	Russian
failover	аварийное переключение на резерв	English	Russian
аварийное переключение на резерв	failover	Russian	English
firing line	линия огня; позиция под ударом	English	Russian
to single out	выделить; отобрать (из большего числа)	English	Russian
выделить; отобрать (из большего числа)	to single out	Russian	English
to covet	сильно желать (чужого), домогаться	English	Russian
сильно желать (чужого), домогаться	to covet	Russian	English
to reclaim	требовать обратно; возвращать	English	Russian
требовать обратно; возвращать	to reclaim	Russian	English
to move one's bowels	опорожнить кишечник	English	Russian
опорожнить кишечник	to move one's bowels	Russian	English
to fall short of something	не дотягивать до чего-либо; не соответствовать	English	Russian
не дотягивать до чего-либо; не соответствовать	to fall short of something	Russian	English
fang	клык	English	Russian
клык	fang	Russian	English
no-markup	без наценки	English	Russian
без наценки	no-markup	Russian	English
conceit	самомнение, тщеславие	English	Russian
самомнение, тщеславие	conceit	Russian	English
to repel	отталкивать; вызывать отвращение	English	Russian
отталкивать; вызывать отвращение	to repel	Russian	English
to be wont to do something	иметь обыкновение делать что-либо	English	Russian
иметь обыкновение делать что-либо	to be wont to do something	Russian	English
to err	ошибаться, заблуждаться	English	Russian
ошибаться, заблуждаться	to err	Russian	English
to absolve someone of something	освобождать кого-либо от ответственности за что-то	English	Russian
освобождать кого-либо от ответственности за что-то	to absolve someone of something	Russian	English
to embellish	приукрашивать; украшать	English	Russian
приукрашивать; украшать	to embellish	Russian	English
to cuddle	прижимать к себе; обнимать	English	Russian
прижимать к себе; обнимать	to cuddle	Russian	English
to fall through	сорваться, провалиться (о проекте, планах)	English	Russian
сорваться, провалиться (о проекте, планах)	to fall through	Russian	English
